freq, MHz	val1	val2	val3	unit
0,0910	21,4638			dBuV
0,0911	17,4793			dBuV
0,0912	23,9671			dBuV
0,0913	18,5448			dBuV
0,0914	18,3828			dBuV
0,0915	14,4633			dBuV
0,0916	16,4710			dBuV
0,0917	19,7117			dBuV
0,0918	25,2477			dBuV
0,0919	20,7550			dBuV
0,0920	19,1522			dBuV
0,0921	16,6628			dBuV
0,0922	21,0250			dBuV
0,0923	19,9864			dBuV
0,0924	18,0638			dBuV
0,0925	15,1259			dBuV
0,0926	21,4664			dBuV
0,0927	18,4346			dBuV
0,0928	18,5374			dBuV
0,0929	17,9216			dBuV
0,0930	19,2297			dBuV
0,0931	17,9540			dBuV
0,0932	21,2738			dBuV
0,0933	14,0676			dBuV
0,0934	21,4500			dBuV
0,0935	15,7904			dBuV
0,0936	24,6790			dBuV
0,0937	19,0717			dBuV
0,0938	16,8064			dBuV
0,0939	19,1544			dBuV
0,0940	22,8432			dBuV
0,0941	15,4872			dBuV
0,0942	19,0788			dBuV
0,0943	22,4306			dBuV
0,0944	20,9612			dBuV
0,0945	23,5675			dBuV
0,0946	16,2234			dBuV
0,0947	15,8607			dBuV
0,0948	23,9066			dBuV
0,0949	20,8440			dBuV
0,0950	18,2863			dBuV
0,0951	14,9744			dBuV
0,0952	21,1600			dBuV
0,0953	22,3854			dBuV
0,0954	14,9416			dBuV
0,0955	21,2730			dBuV
0,0956	18,5755			dBuV
0,0957	21,2279			dBuV
0,0958	17,3019			dBuV
0,0959	17,7979			dBuV
0,0960	21,4114			dBuV
0,0961	16,5157			dBuV
0,0962	14,6271			dBuV
0,0963	22,3375			dBuV
0,0964	19,2838			dBuV
0,0965	21,8306			dBuV
0,0966	17,7828			dBuV
0,0967	20,7822			dBuV
0,0968	18,5031			dBuV
0,0969	21,8712			dBuV
0,0970	13,1963			dBuV
0,0971	19,8194			dBuV
0,0972	18,3589			dBuV
0,0973	18,8307			dBuV
0,0974	20,7375			dBuV
0,0975	22,1074			dBuV
0,0976	20,5808			dBuV
0,0977	16,8954			dBuV
0,0978	19,9831			dBuV
0,0979	16,5415			dBuV
0,0980	20,4771			dBuV
0,0981	21,3400			dBuV
0,0982	22,1470			dBuV
0,0983	23,3839			dBuV
0,0984	21,6773			dBuV
0,0985	21,0730			dBuV
0,0986	17,3404			dBuV
0,0987	20,4882			dBuV
0,0988	24,9226			dBuV
0,0989	18,2418			dBuV
0,0990	16,5466			dBuV
0,0991	14,9778			dBuV
0,0992	16,0838			dBuV
0,0993	19,1698			dBuV
0,0994	18,1610			dBuV
0,0995	17,0610			dBuV
